"Source:","G:\MLAB_G\Moduly_zvlast\BP02\hw\sch_pcb\BP02A.kicad_sch"
"Date:","08.06.2021 6:42:01"
"Tool:","Eeschema (5.99.0-10394-g2e15de97e0)"
"Generator:","C:\Program Files\KiCad\5.99\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","38"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MFPN","UST_ID"
"","","C1","100pF","QFHMIX01C-rescue:C_Small-device-QFHMIX01B-rescue","Capacitor_SMD:C_0805_2012Metric","","","5c70984712875079b91f8b3b"
"","","C2","100pF","QFHMIX01C-rescue:C_Small-device-QFHMIX01B-rescue","Capacitor_SMD:C_0805_2012Metric","","","5c70984712875079b91f8b3b"
"","","C3","100pF","QFHMIX01C-rescue:C_Small-device-QFHMIX01B-rescue","Capacitor_SMD:C_0805_2012Metric","","","5c70984712875079b91f8b3b"
"","","C4","100pF","QFHMIX01C-rescue:C_Small-device-QFHMIX01B-rescue","Capacitor_SMD:C_0805_2012Metric","","","5c70984712875079b91f8b3b"
"","","C5","18pF","QFHMIX01C-rescue:C_Small-device-QFHMIX01B-rescue","Capacitor_SMD:C_0805_2012Metric","","","5c70984712875079b91f8b33"
"","","C6","33pF","QFHMIX01C-rescue:C_Small-device-QFHMIX01B-rescue","Capacitor_SMD:C_0805_2012Metric","","","5c70984712875079b91f8b37"
"","","C7","18pF","QFHMIX01C-rescue:C_Small-device-QFHMIX01B-rescue","Capacitor_SMD:C_0805_2012Metric","","","5c70984712875079b91f8b33"
"","","C8","39pF","QFHMIX01C-rescue:C_Small-device-QFHMIX01B-rescue","Capacitor_SMD:C_0805_2012Metric","","","5dad549f128750448eca1926"
"","","C9","18pF","QFHMIX01C-rescue:C_Small-device-QFHMIX01B-rescue","Capacitor_SMD:C_0805_2012Metric","","","5c70984712875079b91f8b33"
"","","C10","100pF","QFHMIX01C-rescue:C_Small-device-QFHMIX01B-rescue","Capacitor_SMD:C_0805_2012Metric","","","5c70984712875079b91f8b3b"
"","","C11","100pF","QFHMIX01C-rescue:C_Small-device-QFHMIX01B-rescue","Capacitor_SMD:C_0805_2012Metric","","","5c70984712875079b91f8b3b"
"","","C12","100pF","QFHMIX01C-rescue:C_Small-device-QFHMIX01B-rescue","Capacitor_SMD:C_0805_2012Metric","","","5c70984712875079b91f8b3b"
"","","C13","100pF","QFHMIX01C-rescue:C_Small-device-QFHMIX01B-rescue","Capacitor_SMD:C_0805_2012Metric","","","5c70984712875079b91f8b3b"
"","","J1","SATA7-67491-1030","FMC2DIFF-rescue:SATA7-67491-1030-konektory","Mlab_CON:SATA-7_THT_VERT_2","","","5c70984712875079b91f8a7b"
"","","J2","SATA7-67491-1030","FMC2DIFF-rescue:SATA7-67491-1030-konektory","Mlab_CON:SATA-7_THT_VERT_2","","","5c70984712875079b91f8a7b"
"","","L1","27nH","QFHMIX01C-rescue:L-device-QFHMIX01B-rescue","Inductor_SMD:L_0805_2012Metric","","CW0805-12","5c70984412875079b91f8807"
"","","L2","27nH","QFHMIX01C-rescue:L-device-QFHMIX01B-rescue","Inductor_SMD:L_0805_2012Metric","","CW0805-12","5c70984412875079b91f8807"
"","","L3","22nH","QFHMIX01C-rescue:L-device-QFHMIX01B-rescue","Inductor_SMD:L_0805_2012Metric","","0805AS-027J-08","60be80ed1287500165e6c3bb"
"","","L4","22nH","QFHMIX01C-rescue:L-device-QFHMIX01B-rescue","Inductor_SMD:L_0805_2012Metric","","0805AS-027J-08","60be80ed1287500165e6c3bb"
"","","L5","10nH","QFHMIX01C-rescue:L-device-QFHMIX01B-rescue","Inductor_SMD:L_0805_2012Metric","","CW0805-10","60be72061287500165e6c35e"
"","","L6","5.6nH","QFHMIX01C-rescue:L-device-QFHMIX01B-rescue","Inductor_SMD:L_0805_2012Metric","","","5c70984412875079b91f8803"
"","","L7","82nH","QFHMIX01C-rescue:L-device-QFHMIX01B-rescue","Inductor_SMD:L_0805_2012Metric","","CW0805-82","60be7e351287500165e6c39b"
"","","L8","82nH","QFHMIX01C-rescue:L-device-QFHMIX01B-rescue","Inductor_SMD:L_0805_2012Metric","","CW0805-82","60be7e351287500165e6c39b"
"","","L9","39nH","QFHMIX01C-rescue:L-device-QFHMIX01B-rescue","Inductor_SMD:L_0805_2012Metric",""," CW0805-39","5c70984412875079b91f8809"
"","","L10","39nH","QFHMIX01C-rescue:L-device-QFHMIX01B-rescue","Inductor_SMD:L_0805_2012Metric",""," CW0805-39","5c70984412875079b91f8809"
"","","L11","10nH","QFHMIX01C-rescue:L-device-QFHMIX01B-rescue","Inductor_SMD:L_0805_2012Metric","","CW0805-10","60be72061287500165e6c35e"
"","","L12","4.7nH","QFHMIX01C-rescue:L-device-QFHMIX01B-rescue","Inductor_SMD:L_0805_2012Metric","","","5fa100d812875025b39779cf"
"","","L13","82nH","QFHMIX01C-rescue:L-device-QFHMIX01B-rescue","Inductor_SMD:L_0805_2012Metric","","CW0805-82","60be7e351287500165e6c39b"
"","","L14","82nH","QFHMIX01C-rescue:L-device-QFHMIX01B-rescue","Inductor_SMD:L_0805_2012Metric","","CW0805-82","60be7e351287500165e6c39b"
"","","L15","18nH","QFHMIX01C-rescue:L-device-QFHMIX01B-rescue","Inductor_SMD:L_0805_2012Metric","","CW0805-18","5c70984412875079b91f8806"
"","","L16","18nH","QFHMIX01C-rescue:L-device-QFHMIX01B-rescue","Inductor_SMD:L_0805_2012Metric","","CW0805-18","5c70984412875079b91f8806"
"","","L17","10nH","QFHMIX01C-rescue:L-device-QFHMIX01B-rescue","Inductor_SMD:L_0805_2012Metric","","CW0805-10","60be72061287500165e6c35e"
"","","L18","27nH","QFHMIX01C-rescue:L-device-QFHMIX01B-rescue","Inductor_SMD:L_0805_2012Metric","","CW0805-12","5c70984412875079b91f8807"
"","","L19","27nH","QFHMIX01C-rescue:L-device-QFHMIX01B-rescue","Inductor_SMD:L_0805_2012Metric","","CW0805-12","5c70984412875079b91f8807"
"","","M1","HOLE","ISM02A-rescue:HOLE-MLAB_MECHANICAL","Mlab_Mechanical:MountingHole_3mm","","",""
"","","M2","HOLE","ISM02A-rescue:HOLE-MLAB_MECHANICAL","Mlab_Mechanical:MountingHole_3mm","","",""
"","","M3","HOLE","ISM02A-rescue:HOLE-MLAB_MECHANICAL","Mlab_Mechanical:MountingHole_3mm","","",""
"","","M4","HOLE","ISM02A-rescue:HOLE-MLAB_MECHANICAL","Mlab_Mechanical:MountingHole_3mm","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MFPN","UST_ID"
"1","8","C1, C2, C3, C4, C10, C11, C12, C13","100pF","QFHMIX01C-rescue:C_Small-device-QFHMIX01B-rescue","Capacitor_SMD:C_0805_2012Metric","","","5c70984712875079b91f8b3b"
"2","3","C5, C7, C9","18pF","QFHMIX01C-rescue:C_Small-device-QFHMIX01B-rescue","Capacitor_SMD:C_0805_2012Metric","","","5c70984712875079b91f8b33"
"3","1","C6","33pF","QFHMIX01C-rescue:C_Small-device-QFHMIX01B-rescue","Capacitor_SMD:C_0805_2012Metric","","","5c70984712875079b91f8b37"
"4","1","C8","39pF","QFHMIX01C-rescue:C_Small-device-QFHMIX01B-rescue","Capacitor_SMD:C_0805_2012Metric","","","5dad549f128750448eca1926"
"5","2","J1, J2","SATA7-67491-1030","FMC2DIFF-rescue:SATA7-67491-1030-konektory","Mlab_CON:SATA-7_THT_VERT_2","","","5c70984712875079b91f8a7b"
"6","4","L1, L2, L18, L19","27nH","QFHMIX01C-rescue:L-device-QFHMIX01B-rescue","Inductor_SMD:L_0805_2012Metric","","CW0805-12","5c70984412875079b91f8807"
"7","2","L3, L4","22nH","QFHMIX01C-rescue:L-device-QFHMIX01B-rescue","Inductor_SMD:L_0805_2012Metric","","0805AS-027J-08","60be80ed1287500165e6c3bb"
"8","3","L5, L11, L17","10nH","QFHMIX01C-rescue:L-device-QFHMIX01B-rescue","Inductor_SMD:L_0805_2012Metric","","CW0805-10","60be72061287500165e6c35e"
"9","1","L6","5.6nH","QFHMIX01C-rescue:L-device-QFHMIX01B-rescue","Inductor_SMD:L_0805_2012Metric","","","5c70984412875079b91f8803"
"10","4","L7, L8, L13, L14","82nH","QFHMIX01C-rescue:L-device-QFHMIX01B-rescue","Inductor_SMD:L_0805_2012Metric","","CW0805-82","60be7e351287500165e6c39b"
"11","2","L9, L10","39nH","QFHMIX01C-rescue:L-device-QFHMIX01B-rescue","Inductor_SMD:L_0805_2012Metric",""," CW0805-39","5c70984412875079b91f8809"
"12","1","L12","4.7nH","QFHMIX01C-rescue:L-device-QFHMIX01B-rescue","Inductor_SMD:L_0805_2012Metric","","","5fa100d812875025b39779cf"
"13","2","L15, L16","18nH","QFHMIX01C-rescue:L-device-QFHMIX01B-rescue","Inductor_SMD:L_0805_2012Metric","","CW0805-18","5c70984412875079b91f8806"
"14","4","M1, M2, M3, M4","HOLE","ISM02A-rescue:HOLE-MLAB_MECHANICAL","Mlab_Mechanical:MountingHole_3mm","","",""
